,Size (MB),File Type,File Format,Bio Rep No,Tech Rep No,Biosource Type,Organism,File Status,Publication,Experiment Type,Replicate Info,Assay Details,Biosource,Dataset,Condition,In Experiment As,Project,Notes
106,590.44,reads,fastq,1,1,induced pluripotent stem cell,human,released,Correspondence: biren@ucsd.edu,sn-Hi-C,"Biorep 1, Techrep 1",MboI,WTC-11 AAVS1-GFP C28,Single nucleus Hi-C on WTC-11 with GFP tagged AAVS1,clone 28,raw file,4DN,
107,983.99,reads,fastq,1,1,induced pluripotent stem cell,human,released,Correspondence: biren@ucsd.edu,sn-Hi-C,"Biorep 1, Techrep 1",MboI,WTC-11 AAVS1-GFP C28,Single nucleus Hi-C on WTC-11 with GFP tagged AAVS1,clone 28,raw file,4DN,
108,702.61,reads,fastq,1,1,induced pluripotent stem cell,human,released,Correspondence: biren@ucsd.edu,sn-Hi-C,"Biorep 1, Techrep 1",MboI,WTC-11 AAVS1-GFP C28,Single nucleus Hi-C on WTC-11 with GFP tagged AAVS1,clone 28,raw file,4DN,
109,498.15,reads,fastq,1,1,induced pluripotent stem cell,human,released,Correspondence: biren@ucsd.edu,sn-Hi-C,"Biorep 1, Techrep 1",MboI,WTC-11 AAVS1-GFP C28,Single nucleus Hi-C on WTC-11 with GFP tagged AAVS1,clone 28,raw file,4DN,
110,533.14,reads,fastq,1,1,induced pluripotent stem cell,human,released,Correspondence: biren@ucsd.edu,sn-Hi-C,"Biorep 1, Techrep 1",MboI,WTC-11 AAVS1-GFP C28,Single nucleus Hi-C on WTC-11 with GFP tagged AAVS1,clone 28,raw file,4DN,
111,692.16,reads,fastq,1,1,induced pluripotent stem cell,human,released,Correspondence: biren@ucsd.edu,sn-Hi-C,"Biorep 1, Techrep 1",MboI,WTC-11 AAVS1-GFP C28,Single nucleus Hi-C on WTC-11 with GFP tagged AAVS1,clone 28,raw file,4DN,
112,653.07,reads,fastq,1,1,induced pluripotent stem cell,human,released,Correspondence: biren@ucsd.edu,sn-Hi-C,"Biorep 1, Techrep 1",MboI,WTC-11 AAVS1-GFP C28,Single nucleus Hi-C on WTC-11 with GFP tagged AAVS1,clone 28,raw file,4DN,
113,844.86,reads,fastq,1,1,induced pluripotent stem cell,human,released,Correspondence: biren@ucsd.edu,sn-Hi-C,"Biorep 1, Techrep 1",MboI,WTC-11 AAVS1-GFP C28,Single nucleus Hi-C on WTC-11 with GFP tagged AAVS1,clone 28,raw file,4DN,
114,313.28,reads,fastq,1,1,induced pluripotent stem cell,human,released,Correspondence: biren@ucsd.edu,sn-Hi-C,"Biorep 1, Techrep 1",MboI,WTC-11 AAVS1-GFP C28,Single nucleus Hi-C on WTC-11 with GFP tagged AAVS1,clone 28,raw file,4DN,
115,382.93,reads,fastq,1,1,induced pluripotent stem cell,human,released,Correspondence: biren@ucsd.edu,sn-Hi-C,"Biorep 1, Techrep 1",MboI,WTC-11 AAVS1-GFP C28,Single nucleus Hi-C on WTC-11 with GFP tagged AAVS1,clone 28,raw file,4DN,
116,349.81,reads,fastq,1,1,induced pluripotent stem cell,human,released,Correspondence: biren@ucsd.edu,sn-Hi-C,"Biorep 1, Techrep 1",MboI,WTC-11 AAVS1-GFP C28,Single nucleus Hi-C on WTC-11 with GFP tagged AAVS1,clone 28,raw file,4DN,
117,445.76,reads,fastq,1,1,induced pluripotent stem cell,human,released,Correspondence: biren@ucsd.edu,sn-Hi-C,"Biorep 1, Techrep 1",MboI,WTC-11 AAVS1-GFP C28,Single nucleus Hi-C on WTC-11 with GFP tagged AAVS1,clone 28,raw file,4DN,
118,752.62,reads,fastq,1,1,induced pluripotent stem cell,human,released,Correspondence: biren@ucsd.edu,sn-Hi-C,"Biorep 1, Techrep 1",MboI,WTC-11 AAVS1-GFP C28,Single nucleus Hi-C on WTC-11 with GFP tagged AAVS1,clone 28,raw file,4DN,
119,431.77,reads,fastq,1,1,induced pluripotent stem cell,human,released,Correspondence: biren@ucsd.edu,sn-Hi-C,"Biorep 1, Techrep 1",MboI,WTC-11 AAVS1-GFP C28,Single nucleus Hi-C on WTC-11 with GFP tagged AAVS1,clone 28,raw file,4DN,
120,647.04,reads,fastq,1,1,induced pluripotent stem cell,human,released,Correspondence: biren@ucsd.edu,sn-Hi-C,"Biorep 1, Techrep 1",MboI,WTC-11 AAVS1-GFP C28,Single nucleus Hi-C on WTC-11 with GFP tagged AAVS1,clone 28,raw file,4DN,
121,934.12,reads,fastq,1,1,induced pluripotent stem cell,human,released,Correspondence: biren@ucsd.edu,sn-Hi-C,"Biorep 1, Techrep 1",MboI,WTC-11 AAVS1-GFP C28,Single nucleus Hi-C on WTC-11 with GFP tagged AAVS1,clone 28,raw file,4DN,
122,657.63,reads,fastq,1,1,induced pluripotent stem cell,human,released,Correspondence: biren@ucsd.edu,sn-Hi-C,"Biorep 1, Techrep 1",MboI,WTC-11 AAVS1-GFP C28,Single nucleus Hi-C on WTC-11 with GFP tagged AAVS1,clone 28,raw file,4DN,
123,504.86,reads,fastq,1,1,induced pluripotent stem cell,human,released,Correspondence: biren@ucsd.edu,sn-Hi-C,"Biorep 1, Techrep 1",MboI,WTC-11 AAVS1-GFP C28,Single nucleus Hi-C on WTC-11 with GFP tagged AAVS1,clone 28,raw file,4DN,
124,1035.94,reads,fastq,1,1,induced pluripotent stem cell,human,released,Correspondence: biren@ucsd.edu,sn-Hi-C,"Biorep 1, Techrep 1",MboI,WTC-11 AAVS1-GFP C28,Single nucleus Hi-C on WTC-11 with GFP tagged AAVS1,clone 28,raw file,4DN,
125,725.19,reads,fastq,1,1,induced pluripotent stem cell,human,released,Correspondence: biren@ucsd.edu,sn-Hi-C,"Biorep 1, Techrep 1",MboI,WTC-11 AAVS1-GFP C28,Single nucleus Hi-C on WTC-11 with GFP tagged AAVS1,clone 28,raw file,4DN,
126,729.25,reads,fastq,1,1,induced pluripotent stem cell,human,released,Correspondence: biren@ucsd.edu,sn-Hi-C,"Biorep 1, Techrep 1",MboI,WTC-11 AAVS1-GFP C28,Single nucleus Hi-C on WTC-11 with GFP tagged AAVS1,clone 28,raw file,4DN,
127,527.47,reads,fastq,1,1,induced pluripotent stem cell,human,released,Correspondence: biren@ucsd.edu,sn-Hi-C,"Biorep 1, Techrep 1",MboI,WTC-11 AAVS1-GFP C28,Single nucleus Hi-C on WTC-11 with GFP tagged AAVS1,clone 28,raw file,4DN,
128,946.72,reads,fastq,1,1,induced pluripotent stem cell,human,released,Correspondence: biren@ucsd.edu,sn-Hi-C,"Biorep 1, Techrep 1",MboI,WTC-11 AAVS1-GFP C28,Single nucleus Hi-C on WTC-11 with GFP tagged AAVS1,clone 28,raw file,4DN,
129,755.75,reads,fastq,1,1,induced pluripotent stem cell,human,released,Correspondence: biren@ucsd.edu,sn-Hi-C,"Biorep 1, Techrep 1",MboI,WTC-11 AAVS1-GFP C28,Single nucleus Hi-C on WTC-11 with GFP tagged AAVS1,clone 28,raw file,4DN,
130,741.51,reads,fastq,1,1,induced pluripotent stem cell,human,released,Correspondence: biren@ucsd.edu,sn-Hi-C,"Biorep 1, Techrep 1",MboI,WTC-11 AAVS1-GFP C28,Single nucleus Hi-C on WTC-11 with GFP tagged AAVS1,clone 28,raw file,4DN,
131,722.83,reads,fastq,1,1,induced pluripotent stem cell,human,released,Correspondence: biren@ucsd.edu,sn-Hi-C,"Biorep 1, Techrep 1",MboI,WTC-11 AAVS1-GFP C28,Single nucleus Hi-C on WTC-11 with GFP tagged AAVS1,clone 28,raw file,4DN,
132,604.69,reads,fastq,1,1,induced pluripotent stem cell,human,released,Correspondence: biren@ucsd.edu,sn-Hi-C,"Biorep 1, Techrep 1",MboI,WTC-11 AAVS1-GFP C28,Single nucleus Hi-C on WTC-11 with GFP tagged AAVS1,clone 28,raw file,4DN,
133,763.81,reads,fastq,1,1,induced pluripotent stem cell,human,released,Correspondence: biren@ucsd.edu,sn-Hi-C,"Biorep 1, Techrep 1",MboI,WTC-11 AAVS1-GFP C28,Single nucleus Hi-C on WTC-11 with GFP tagged AAVS1,clone 28,raw file,4DN,
134,563.59,reads,fastq,1,1,induced pluripotent stem cell,human,released,Correspondence: biren@ucsd.edu,sn-Hi-C,"Biorep 1, Techrep 1",MboI,WTC-11 AAVS1-GFP C28,Single nucleus Hi-C on WTC-11 with GFP tagged AAVS1,clone 28,raw file,4DN,
135,295.43,reads,fastq,1,1,induced pluripotent stem cell,human,released,Correspondence: biren@ucsd.edu,sn-Hi-C,"Biorep 1, Techrep 1",MboI,WTC-11 AAVS1-GFP C28,Single nucleus Hi-C on WTC-11 with GFP tagged AAVS1,clone 28,raw file,4DN,
136,875.64,reads,fastq,1,1,induced pluripotent stem cell,human,released,Correspondence: biren@ucsd.edu,sn-Hi-C,"Biorep 1, Techrep 1",MboI,WTC-11 AAVS1-GFP C28,Single nucleus Hi-C on WTC-11 with GFP tagged AAVS1,clone 28,raw file,4DN,
137,233.08,reads,fastq,1,1,induced pluripotent stem cell,human,released,Correspondence: biren@ucsd.edu,sn-Hi-C,"Biorep 1, Techrep 1",MboI,WTC-11 AAVS1-GFP C28,Single nucleus Hi-C on WTC-11 with GFP tagged AAVS1,clone 28,raw file,4DN,
138,430.16,reads,fastq,1,1,induced pluripotent stem cell,human,released,Correspondence: biren@ucsd.edu,sn-Hi-C,"Biorep 1, Techrep 1",MboI,WTC-11 AAVS1-GFP C28,Single nucleus Hi-C on WTC-11 with GFP tagged AAVS1,clone 28,raw file,4DN,
139,299.82,reads,fastq,1,1,induced pluripotent stem cell,human,released,Correspondence: biren@ucsd.edu,sn-Hi-C,"Biorep 1, Techrep 1",MboI,WTC-11 AAVS1-GFP C28,Single nucleus Hi-C on WTC-11 with GFP tagged AAVS1,clone 28,raw file,4DN,
140,643.1,reads,fastq,1,1,induced pluripotent stem cell,human,released,Correspondence: biren@ucsd.edu,sn-Hi-C,"Biorep 1, Techrep 1",MboI,WTC-11 AAVS1-GFP C28,Single nucleus Hi-C on WTC-11 with GFP tagged AAVS1,clone 28,raw file,4DN,
141,911.97,reads,fastq,1,1,induced pluripotent stem cell,human,released,Correspondence: biren@ucsd.edu,sn-Hi-C,"Biorep 1, Techrep 1",MboI,WTC-11 AAVS1-GFP C28,Single nucleus Hi-C on WTC-11 with GFP tagged AAVS1,clone 28,raw file,4DN,
142,347.03,reads,fastq,1,1,induced pluripotent stem cell,human,released,Correspondence: biren@ucsd.edu,sn-Hi-C,"Biorep 1, Techrep 1",MboI,WTC-11 AAVS1-GFP C28,Single nucleus Hi-C on WTC-11 with GFP tagged AAVS1,clone 28,raw file,4DN,
143,856.08,reads,fastq,1,1,induced pluripotent stem cell,human,released,Correspondence: biren@ucsd.edu,sn-Hi-C,"Biorep 1, Techrep 1",MboI,WTC-11 AAVS1-GFP C28,Single nucleus Hi-C on WTC-11 with GFP tagged AAVS1,clone 28,raw file,4DN,
144,514.85,reads,fastq,1,1,induced pluripotent stem cell,human,released,Correspondence: biren@ucsd.edu,sn-Hi-C,"Biorep 1, Techrep 1",MboI,WTC-11 AAVS1-GFP C28,Single nucleus Hi-C on WTC-11 with GFP tagged AAVS1,clone 28,raw file,4DN,
145,689.17,reads,fastq,1,1,induced pluripotent stem cell,human,released,Correspondence: biren@ucsd.edu,sn-Hi-C,"Biorep 1, Techrep 1",MboI,WTC-11 AAVS1-GFP C28,Single nucleus Hi-C on WTC-11 with GFP tagged AAVS1,clone 28,raw file,4DN,
146,750.86,reads,fastq,1,1,induced pluripotent stem cell,human,released,Correspondence: biren@ucsd.edu,sn-Hi-C,"Biorep 1, Techrep 1",MboI,WTC-11 AAVS1-GFP C28,Single nucleus Hi-C on WTC-11 with GFP tagged AAVS1,clone 28,raw file,4DN,
147,704.45,reads,fastq,1,1,induced pluripotent stem cell,human,released,Correspondence: biren@ucsd.edu,sn-Hi-C,"Biorep 1, Techrep 1",MboI,WTC-11 AAVS1-GFP C28,Single nucleus Hi-C on WTC-11 with GFP tagged AAVS1,clone 28,raw file,4DN,
148,795.71,reads,fastq,1,1,induced pluripotent stem cell,human,released,Correspondence: biren@ucsd.edu,sn-Hi-C,"Biorep 1, Techrep 1",MboI,WTC-11 AAVS1-GFP C28,Single nucleus Hi-C on WTC-11 with GFP tagged AAVS1,clone 28,raw file,4DN,
149,222.79,reads,fastq,1,1,induced pluripotent stem cell,human,released,Correspondence: biren@ucsd.edu,sn-Hi-C,"Biorep 1, Techrep 1",MboI,WTC-11 AAVS1-GFP C28,Single nucleus Hi-C on WTC-11 with GFP tagged AAVS1,clone 28,raw file,4DN,
150,686.29,reads,fastq,1,1,induced pluripotent stem cell,human,released,Correspondence: biren@ucsd.edu,sn-Hi-C,"Biorep 1, Techrep 1",MboI,WTC-11 AAVS1-GFP C28,Single nucleus Hi-C on WTC-11 with GFP tagged AAVS1,clone 28,raw file,4DN,
151,600.4,reads,fastq,1,1,induced pluripotent stem cell,human,released,Correspondence: biren@ucsd.edu,sn-Hi-C,"Biorep 1, Techrep 1",MboI,WTC-11 AAVS1-GFP C28,Single nucleus Hi-C on WTC-11 with GFP tagged AAVS1,clone 28,raw file,4DN,
152,816.22,reads,fastq,1,1,induced pluripotent stem cell,human,released,Correspondence: biren@ucsd.edu,sn-Hi-C,"Biorep 1, Techrep 1",MboI,WTC-11 AAVS1-GFP C28,Single nucleus Hi-C on WTC-11 with GFP tagged AAVS1,clone 28,raw file,4DN,
153,736.29,reads,fastq,1,1,induced pluripotent stem cell,human,released,Correspondence: biren@ucsd.edu,sn-Hi-C,"Biorep 1, Techrep 1",MboI,WTC-11 AAVS1-GFP C28,Single nucleus Hi-C on WTC-11 with GFP tagged AAVS1,clone 28,raw file,4DN,
154,699.5,reads,fastq,1,1,induced pluripotent stem cell,human,released,Correspondence: biren@ucsd.edu,sn-Hi-C,"Biorep 1, Techrep 1",MboI,WTC-11 AAVS1-GFP C28,Single nucleus Hi-C on WTC-11 with GFP tagged AAVS1,clone 28,raw file,4DN,
155,861.89,reads,fastq,1,1,induced pluripotent stem cell,human,released,Correspondence: biren@ucsd.edu,sn-Hi-C,"Biorep 1, Techrep 1",MboI,WTC-11 AAVS1-GFP C28,Single nucleus Hi-C on WTC-11 with GFP tagged AAVS1,clone 28,raw file,4DN,
156,281.62,reads,fastq,1,1,induced pluripotent stem cell,human,released,Correspondence: biren@ucsd.edu,sn-Hi-C,"Biorep 1, Techrep 1",MboI,WTC-11 AAVS1-GFP C28,Single nucleus Hi-C on WTC-11 with GFP tagged AAVS1,clone 28,raw file,4DN,
157,1057.6,reads,fastq,1,1,induced pluripotent stem cell,human,released,Correspondence: biren@ucsd.edu,sn-Hi-C,"Biorep 1, Techrep 1",MboI,WTC-11 AAVS1-GFP C28,Single nucleus Hi-C on WTC-11 with GFP tagged AAVS1,clone 28,raw file,4DN,
158,723.87,reads,fastq,1,1,induced pluripotent stem cell,human,released,Correspondence: biren@ucsd.edu,sn-Hi-C,"Biorep 1, Techrep 1",MboI,WTC-11 AAVS1-GFP C28,Single nucleus Hi-C on WTC-11 with GFP tagged AAVS1,clone 28,raw file,4DN,
159,199.69,reads,fastq,1,1,induced pluripotent stem cell,human,released,Correspondence: biren@ucsd.edu,sn-Hi-C,"Biorep 1, Techrep 1",MboI,WTC-11 AAVS1-GFP C28,Single nucleus Hi-C on WTC-11 with GFP tagged AAVS1,clone 28,raw file,4DN,
160,512.28,reads,fastq,1,1,induced pluripotent stem cell,human,released,Correspondence: biren@ucsd.edu,sn-Hi-C,"Biorep 1, Techrep 1",MboI,WTC-11 AAVS1-GFP C28,Single nucleus Hi-C on WTC-11 with GFP tagged AAVS1,clone 28,raw file,4DN,
161,320.11,reads,fastq,1,1,induced pluripotent stem cell,human,released,Correspondence: biren@ucsd.edu,sn-Hi-C,"Biorep 1, Techrep 1",MboI,WTC-11 AAVS1-GFP C28,Single nucleus Hi-C on WTC-11 with GFP tagged AAVS1,clone 28,raw file,4DN,
162,434.71,reads,fastq,1,1,induced pluripotent stem cell,human,released,Correspondence: biren@ucsd.edu,sn-Hi-C,"Biorep 1, Techrep 1",MboI,WTC-11 AAVS1-GFP C28,Single nucleus Hi-C on WTC-11 with GFP tagged AAVS1,clone 28,raw file,4DN,
163,837.45,reads,fastq,1,1,induced pluripotent stem cell,human,released,Correspondence: biren@ucsd.edu,sn-Hi-C,"Biorep 1, Techrep 1",MboI,WTC-11 AAVS1-GFP C28,Single nucleus Hi-C on WTC-11 with GFP tagged AAVS1,clone 28,raw file,4DN,
164,978.7,reads,fastq,1,1,induced pluripotent stem cell,human,released,Correspondence: biren@ucsd.edu,sn-Hi-C,"Biorep 1, Techrep 1",MboI,WTC-11 AAVS1-GFP C28,Single nucleus Hi-C on WTC-11 with GFP tagged AAVS1,clone 28,raw file,4DN,
165,330.54,reads,fastq,1,1,induced pluripotent stem cell,human,released,Correspondence: biren@ucsd.edu,sn-Hi-C,"Biorep 1, Techrep 1",MboI,WTC-11 AAVS1-GFP C28,Single nucleus Hi-C on WTC-11 with GFP tagged AAVS1,clone 28,raw file,4DN,
166,324.6,reads,fastq,1,1,induced pluripotent stem cell,human,released,Correspondence: biren@ucsd.edu,sn-Hi-C,"Biorep 1, Techrep 1",MboI,WTC-11 AAVS1-GFP C28,Single nucleus Hi-C on WTC-11 with GFP tagged AAVS1,clone 28,raw file,4DN,
167,275.28,reads,fastq,1,1,induced pluripotent stem cell,human,released,Correspondence: biren@ucsd.edu,sn-Hi-C,"Biorep 1, Techrep 1",MboI,WTC-11 AAVS1-GFP C28,Single nucleus Hi-C on WTC-11 with GFP tagged AAVS1,clone 28,raw file,4DN,
168,647.49,reads,fastq,1,1,induced pluripotent stem cell,human,released,Correspondence: biren@ucsd.edu,sn-Hi-C,"Biorep 1, Techrep 1",MboI,WTC-11 AAVS1-GFP C28,Single nucleus Hi-C on WTC-11 with GFP tagged AAVS1,clone 28,raw file,4DN,
169,825.45,reads,fastq,1,1,induced pluripotent stem cell,human,released,Correspondence: biren@ucsd.edu,sn-Hi-C,"Biorep 1, Techrep 1",MboI,WTC-11 AAVS1-GFP C28,Single nucleus Hi-C on WTC-11 with GFP tagged AAVS1,clone 28,raw file,4DN,
170,530.17,reads,fastq,1,1,induced pluripotent stem cell,human,released,Correspondence: biren@ucsd.edu,sn-Hi-C,"Biorep 1, Techrep 1",MboI,WTC-11 AAVS1-GFP C28,Single nucleus Hi-C on WTC-11 with GFP tagged AAVS1,clone 28,raw file,4DN,
171,806.8,reads,fastq,1,1,induced pluripotent stem cell,human,released,Correspondence: biren@ucsd.edu,sn-Hi-C,"Biorep 1, Techrep 1",MboI,WTC-11 AAVS1-GFP C28,Single nucleus Hi-C on WTC-11 with GFP tagged AAVS1,clone 28,raw file,4DN,
172,613.23,reads,fastq,1,1,induced pluripotent stem cell,human,released,Correspondence: biren@ucsd.edu,sn-Hi-C,"Biorep 1, Techrep 1",MboI,WTC-11 AAVS1-GFP C28,Single nucleus Hi-C on WTC-11 with GFP tagged AAVS1,clone 28,raw file,4DN,
173,909.79,reads,fastq,1,1,induced pluripotent stem cell,human,released,Correspondence: biren@ucsd.edu,sn-Hi-C,"Biorep 1, Techrep 1",MboI,WTC-11 AAVS1-GFP C28,Single nucleus Hi-C on WTC-11 with GFP tagged AAVS1,clone 28,raw file,4DN,
174,760.65,reads,fastq,1,1,induced pluripotent stem cell,human,released,Correspondence: biren@ucsd.edu,sn-Hi-C,"Biorep 1, Techrep 1",MboI,WTC-11 AAVS1-GFP C28,Single nucleus Hi-C on WTC-11 with GFP tagged AAVS1,clone 28,raw file,4DN,
175,888.41,reads,fastq,1,1,induced pluripotent stem cell,human,released,Correspondence: biren@ucsd.edu,sn-Hi-C,"Biorep 1, Techrep 1",MboI,WTC-11 AAVS1-GFP C28,Single nucleus Hi-C on WTC-11 with GFP tagged AAVS1,clone 28,raw file,4DN,
176,791.42,reads,fastq,1,1,induced pluripotent stem cell,human,released,Correspondence: biren@ucsd.edu,sn-Hi-C,"Biorep 1, Techrep 1",MboI,WTC-11 AAVS1-GFP C28,Single nucleus Hi-C on WTC-11 with GFP tagged AAVS1,clone 28,raw file,4DN,
177,880.7,reads,fastq,1,1,induced pluripotent stem cell,human,released,Correspondence: biren@ucsd.edu,sn-Hi-C,"Biorep 1, Techrep 1",MboI,WTC-11 AAVS1-GFP C28,Single nucleus Hi-C on WTC-11 with GFP tagged AAVS1,clone 28,raw file,4DN,
178,789.77,reads,fastq,1,1,induced pluripotent stem cell,human,released,Correspondence: biren@ucsd.edu,sn-Hi-C,"Biorep 1, Techrep 1",MboI,WTC-11 AAVS1-GFP C28,Single nucleus Hi-C on WTC-11 with GFP tagged AAVS1,clone 28,raw file,4DN,
179,451.52,reads,fastq,1,1,induced pluripotent stem cell,human,released,Correspondence: biren@ucsd.edu,sn-Hi-C,"Biorep 1, Techrep 1",MboI,WTC-11 AAVS1-GFP C28,Single nucleus Hi-C on WTC-11 with GFP tagged AAVS1,clone 28,raw file,4DN,
180,71.17,reads,fastq,1,1,induced pluripotent stem cell,human,released,Correspondence: biren@ucsd.edu,sn-Hi-C,"Biorep 1, Techrep 1",MboI,WTC-11 AAVS1-GFP C28,Single nucleus Hi-C on WTC-11 with GFP tagged AAVS1,clone 28,raw file,4DN,
181,717.42,reads,fastq,1,1,induced pluripotent stem cell,human,released,Correspondence: biren@ucsd.edu,sn-Hi-C,"Biorep 1, Techrep 1",MboI,WTC-11 AAVS1-GFP C28,Single nucleus Hi-C on WTC-11 with GFP tagged AAVS1,clone 28,raw file,4DN,
182,850.02,reads,fastq,1,1,induced pluripotent stem cell,human,released,Correspondence: biren@ucsd.edu,sn-Hi-C,"Biorep 1, Techrep 1",MboI,WTC-11 AAVS1-GFP C28,Single nucleus Hi-C on WTC-11 with GFP tagged AAVS1,clone 28,raw file,4DN,
183,754.63,reads,fastq,1,1,induced pluripotent stem cell,human,released,Correspondence: biren@ucsd.edu,sn-Hi-C,"Biorep 1, Techrep 1",MboI,WTC-11 AAVS1-GFP C28,Single nucleus Hi-C on WTC-11 with GFP tagged AAVS1,clone 28,raw file,4DN,
184,493.4,reads,fastq,1,1,induced pluripotent stem cell,human,released,Correspondence: biren@ucsd.edu,sn-Hi-C,"Biorep 1, Techrep 1",MboI,WTC-11 AAVS1-GFP C28,Single nucleus Hi-C on WTC-11 with GFP tagged AAVS1,clone 28,raw file,4DN,
185,591.17,reads,fastq,1,1,induced pluripotent stem cell,human,released,Correspondence: biren@ucsd.edu,sn-Hi-C,"Biorep 1, Techrep 1",MboI,WTC-11 AAVS1-GFP C28,Single nucleus Hi-C on WTC-11 with GFP tagged AAVS1,clone 28,raw file,4DN,
186,458.16,reads,fastq,1,1,induced pluripotent stem cell,human,released,Correspondence: biren@ucsd.edu,sn-Hi-C,"Biorep 1, Techrep 1",MboI,WTC-11 AAVS1-GFP C28,Single nucleus Hi-C on WTC-11 with GFP tagged AAVS1,clone 28,raw file,4DN,
187,262.49,reads,fastq,1,1,induced pluripotent stem cell,human,released,Correspondence: biren@ucsd.edu,sn-Hi-C,"Biorep 1, Techrep 1",MboI,WTC-11 AAVS1-GFP C28,Single nucleus Hi-C on WTC-11 with GFP tagged AAVS1,clone 28,raw file,4DN,
188,806.79,reads,fastq,1,1,induced pluripotent stem cell,human,released,Correspondence: biren@ucsd.edu,sn-Hi-C,"Biorep 1, Techrep 1",MboI,WTC-11 AAVS1-GFP C28,Single nucleus Hi-C on WTC-11 with GFP tagged AAVS1,clone 28,raw file,4DN,
189,681.78,reads,fastq,1,1,induced pluripotent stem cell,human,released,Correspondence: biren@ucsd.edu,sn-Hi-C,"Biorep 1, Techrep 1",MboI,WTC-11 AAVS1-GFP C28,Single nucleus Hi-C on WTC-11 with GFP tagged AAVS1,clone 28,raw file,4DN,
190,382.99,reads,fastq,1,1,induced pluripotent stem cell,human,released,Correspondence: biren@ucsd.edu,sn-Hi-C,"Biorep 1, Techrep 1",MboI,WTC-11 AAVS1-GFP C28,Single nucleus Hi-C on WTC-11 with GFP tagged AAVS1,clone 28,raw file,4DN,
191,883.32,reads,fastq,1,1,induced pluripotent stem cell,human,released,Correspondence: biren@ucsd.edu,sn-Hi-C,"Biorep 1, Techrep 1",MboI,WTC-11 AAVS1-GFP C28,Single nucleus Hi-C on WTC-11 with GFP tagged AAVS1,clone 28,raw file,4DN,
192,424.75,reads,fastq,1,1,induced pluripotent stem cell,human,released,Correspondence: biren@ucsd.edu,sn-Hi-C,"Biorep 1, Techrep 1",MboI,WTC-11 AAVS1-GFP C28,Single nucleus Hi-C on WTC-11 with GFP tagged AAVS1,clone 28,raw file,4DN,
193,546.32,reads,fastq,1,1,induced pluripotent stem cell,human,released,Correspondence: biren@ucsd.edu,sn-Hi-C,"Biorep 1, Techrep 1",MboI,WTC-11 AAVS1-GFP C28,Single nucleus Hi-C on WTC-11 with GFP tagged AAVS1,clone 28,raw file,4DN,
194,787.36,reads,fastq,1,1,induced pluripotent stem cell,human,released,Correspondence: biren@ucsd.edu,sn-Hi-C,"Biorep 1, Techrep 1",MboI,WTC-11 AAVS1-GFP C28,Single nucleus Hi-C on WTC-11 with GFP tagged AAVS1,clone 28,raw file,4DN,
195,875.54,reads,fastq,1,1,induced pluripotent stem cell,human,released,Correspondence: biren@ucsd.edu,sn-Hi-C,"Biorep 1, Techrep 1",MboI,WTC-11 AAVS1-GFP C28,Single nucleus Hi-C on WTC-11 with GFP tagged AAVS1,clone 28,raw file,4DN,
196,689.99,reads,fastq,1,1,induced pluripotent stem cell,human,released,Correspondence: biren@ucsd.edu,sn-Hi-C,"Biorep 1, Techrep 1",MboI,WTC-11 AAVS1-GFP C28,Single nucleus Hi-C on WTC-11 with GFP tagged AAVS1,clone 28,raw file,4DN,
197,372.09,reads,fastq,1,1,induced pluripotent stem cell,human,released,Correspondence: biren@ucsd.edu,sn-Hi-C,"Biorep 1, Techrep 1",MboI,WTC-11 AAVS1-GFP C28,Single nucleus Hi-C on WTC-11 with GFP tagged AAVS1,clone 28,raw file,4DN,
198,339.78,reads,fastq,1,1,induced pluripotent stem cell,human,released,Correspondence: biren@ucsd.edu,sn-Hi-C,"Biorep 1, Techrep 1",MboI,WTC-11 AAVS1-GFP C28,Single nucleus Hi-C on WTC-11 with GFP tagged AAVS1,clone 28,raw file,4DN,
199,783.93,reads,fastq,1,1,induced pluripotent stem cell,human,released,Correspondence: biren@ucsd.edu,sn-Hi-C,"Biorep 1, Techrep 1",MboI,WTC-11 AAVS1-GFP C28,Single nucleus Hi-C on WTC-11 with GFP tagged AAVS1,clone 28,raw file,4DN,
200,636.73,reads,fastq,1,1,induced pluripotent stem cell,human,released,Correspondence: biren@ucsd.edu,sn-Hi-C,"Biorep 1, Techrep 1",MboI,WTC-11 AAVS1-GFP C28,Single nucleus Hi-C on WTC-11 with GFP tagged AAVS1,clone 28,raw file,4DN,
201,739.77,reads,fastq,1,1,induced pluripotent stem cell,human,released,Correspondence: biren@ucsd.edu,sn-Hi-C,"Biorep 1, Techrep 1",MboI,WTC-11 AAVS1-GFP C28,Single nucleus Hi-C on WTC-11 with GFP tagged AAVS1,clone 28,raw file,4DN,
202,402.76,reads,fastq,1,1,induced pluripotent stem cell,human,released,Correspondence: biren@ucsd.edu,sn-Hi-C,"Biorep 1, Techrep 1",MboI,WTC-11 AAVS1-GFP C28,Single nucleus Hi-C on WTC-11 with GFP tagged AAVS1,clone 28,raw file,4DN,
203,827.38,reads,fastq,1,1,induced pluripotent stem cell,human,released,Correspondence: biren@ucsd.edu,sn-Hi-C,"Biorep 1, Techrep 1",MboI,WTC-11 AAVS1-GFP C28,Single nucleus Hi-C on WTC-11 with GFP tagged AAVS1,clone 28,raw file,4DN,
